,open,high,low,close,date
2140,264.61,266.45,263.21,265.67,2021-02-05
2141,264.98,265.0,261.82,262.59,2021-02-08
2142,263.0,267.2,262.54,266.49,2021-02-09
2143,268.7,270.4,264.6,267.79,2021-02-10
2144,268.75,274.26,267.2,268.93,2021-02-11
2145,269.09,270.25,265.6804,267.85,2021-02-12
2146,271.0,274.29,270.4,270.7,2021-02-16
2147,270.89,272.316,267.81,270.83,2021-02-17
2148,265.23,266.18,262.33,264.51,2021-02-18
2149,266.05,269.39,262.85,263.59,2021-02-19
2150,257.99,259.46,254.0,254.0,2021-02-22
2151,247.31,254.9,241.62,252.75,2021-02-23
2152,252.0,252.0,248.1,250.34,2021-02-24
2153,250.0,250.34,240.07,240.18,2021-02-25
2154,244.63,244.9,237.65,237.76,2021-02-26
2155,241.05,242.79,239.26,241.69,2021-03-01
2156,238.79,241.2,234.27,234.42,2021-03-02
2157,237.5,239.6086,234.4506,236.27,2021-03-03
2158,235.0,236.37,228.36,230.5,2021-03-04
2159,235.42,236.43,228.34,233.89,2021-03-05
2160,229.02,230.81,226.53,226.69,2021-03-08
2161,233.38,238.74,233.075,238.14,2021-03-09
2162,241.0,241.325,233.64,234.3,2021-03-10
2163,237.2,241.72,235.0,240.8,2021-03-11
2164,233.695,235.45,229.7058,231.87,2021-03-12
2165,228.41,230.45,226.26,230.28,2021-03-15
2166,228.07,229.85,225.53,226.93,2021-03-16
2167,226.5,235.63,225.81,233.34,2021-03-17
2168,238.56,239.5,235.56,236.43,2021-03-18
2169,239.66,241.6,236.8838,239.79,2021-03-19
2170,235.855,238.53,235.0,237.12,2021-03-22
2171,237.3,241.12,235.5,237.67,2021-03-23
2172,236.83,237.3,229.24,229.59,2021-03-24
2173,225.0,229.24,222.5,222.72,2021-03-25
2174,222.0,229.239,220.42,227.26,2021-03-26
2175,225.49,232.38,225.1,231.86,2021-03-29
2176,229.27,230.45,226.64,229.25,2021-03-30
2177,229.89,231.52,226.47,226.73,2021-03-31
2178,230.68,231.25,223.5,224.36,2021-04-01
2179,226.53,226.57,222.52,225.3,2021-04-05
2180,226.03,232.0,225.74,230.57,2021-04-06
2181,226.11,228.19,224.8,225.42,2021-04-07
2182,228.5,229.42,226.62,228.24,2021-04-08
2183,224.85,225.07,221.32,223.31,2021-04-09
2184,237.89,244.91,236.65,244.01,2021-04-12
2185,243.66,245.69,239.69,241.89,2021-04-13
2186,244.37,245.09,238.65,239.23,2021-04-14
2187,240.0,240.95,238.1268,239.09,2021-04-15
2188,241.89,241.89,237.82,238.69,2021-04-16
2189,237.44,238.42,232.81,234.78,2021-04-19
2190,232.87,234.63,228.4301,229.88,2021-04-20
2191,229.33,229.49,226.0701,229.44,2021-04-21
2192,228.765,234.0,227.8201,229.35,2021-04-22
2193,230.65,233.0,230.51,232.08,2021-04-23
2194,231.5,233.49,230.82,232.7,2021-04-26
2195,233.44,236.93,232.08,235.92,2021-04-27
2196,237.57,239.22,236.33,236.72,2021-04-28
2197,237.79,238.05,232.6,234.18,2021-04-29
2198,231.77,233.85,230.51,230.95,2021-04-30
2199,231.27,236.1699,230.4052,230.71,2021-05-03
2200,230.25,231.48,225.45,227.9,2021-05-04
2201,228.0,228.91,226.73,226.78,2021-05-05
2202,227.11,228.44,222.88,226.42,2021-05-06
2203,227.9,228.79,225.05,225.31,2021-05-07
2204,222.87,222.87,218.56,219.53,2021-05-10
2205,213.71,221.39,213.0,221.38,2021-05-11
2206,224.74,225.29,219.0,219.9,2021-05-12
2207,213.15,215.5,204.39,206.08,2021-05-13
2208,209.9235,210.94,206.02,209.51,2021-05-14
2209,210.615,213.15,209.44,211.05,2021-05-17
2210,212.5,215.17,211.42,213.72,2021-05-18
2211,211.1,212.91,210.12,212.54,2021-05-19
2212,212.995,217.63,212.63,216.99,2021-05-20
2213,215.23,215.89,209.87,211.06,2021-05-21
2214,210.03,212.01,208.7,210.44,2021-05-24
2215,212.83,214.05,211.01,211.13,2021-05-25
2216,212.3,213.75,211.54,211.78,2021-05-26
2217,214.17,215.46,212.53,212.74,2021-05-27
2218,212.76,214.53,212.06,213.96,2021-05-28
2219,223.02,223.13,218.24,219.48,2021-06-01
2220,219.43,219.94,217.46,219.59,2021-06-02
2221,218.0,218.7,216.305,217.04,2021-06-03
2222,218.28,219.08,217.14,219.02,2021-06-04
2223,218.0,218.4,215.69,216.9,2021-06-07
2224,217.29,218.23,214.74,215.82,2021-06-08
2225,215.21,216.57,213.31,213.32,2021-06-09
